date,ticker,descr,close,retx
2015-01-02,SP500,S&P 500 Index,2058.2,-0.0003399874
2015-01-05,SP500,S&P 500 Index,2020.58,-0.01827811
2015-01-06,SP500,S&P 500 Index,2002.61,-0.008893486
2015-01-07,SP500,S&P 500 Index,2025.9,0.01162982
2015-01-08,SP500,S&P 500 Index,2062.14,0.01788835
2015-01-09,SP500,S&P 500 Index,2044.81,-0.008403891
2015-01-12,SP500,S&P 500 Index,2028.26,-0.008093662
2015-01-13,SP500,S&P 500 Index,2023.03,-0.002578565
2015-01-14,SP500,S&P 500 Index,2011.27,-0.005813063
2015-01-15,SP500,S&P 500 Index,1992.67,-0.009247888000000001
2015-01-16,SP500,S&P 500 Index,2019.42,0.0134242
2015-01-20,SP500,S&P 500 Index,2022.55,0.00154995
2015-01-21,SP500,S&P 500 Index,2032.12,0.00473165
2015-01-22,SP500,S&P 500 Index,2063.15,0.01526977
2015-01-23,SP500,S&P 500 Index,2051.82,-0.005491603
2015-01-26,SP500,S&P 500 Index,2057.09,0.002568451
2015-01-27,SP500,S&P 500 Index,2029.55,-0.01338784
2015-01-28,SP500,S&P 500 Index,2002.16,-0.0134956
2015-01-29,SP500,S&P 500 Index,2021.25,0.009534703
2015-01-30,SP500,S&P 500 Index,1994.99,-0.01299196
2015-02-02,SP500,S&P 500 Index,2020.85,0.01296247
2015-02-03,SP500,S&P 500 Index,2050.03,0.01443947
2015-02-04,SP500,S&P 500 Index,2041.51,-0.004156037
2015-02-05,SP500,S&P 500 Index,2062.52,0.0102914
2015-02-06,SP500,S&P 500 Index,2055.47,-0.003418149
2015-02-09,SP500,S&P 500 Index,2046.74,-0.004247204
2015-02-10,SP500,S&P 500 Index,2068.59,0.01067551
2015-02-11,SP500,S&P 500 Index,2068.53,-2.900526e-05
2015-02-12,SP500,S&P 500 Index,2088.48,0.00964453
2015-02-13,SP500,S&P 500 Index,2096.99,0.004074734
2015-02-17,SP500,S&P 500 Index,2100.34,0.001597528
2015-02-18,SP500,S&P 500 Index,2099.68,-0.0003142348
2015-02-19,SP500,S&P 500 Index,2097.45,-0.001062067
2015-02-20,SP500,S&P 500 Index,2110.3,0.006126487000000001
2015-02-23,SP500,S&P 500 Index,2109.66,-0.0003032744
2015-02-24,SP500,S&P 500 Index,2115.48,0.002758738
2015-02-25,SP500,S&P 500 Index,2113.86,-0.0007657837
2015-02-26,SP500,S&P 500 Index,2110.74,-0.001475973
2015-02-27,SP500,S&P 500 Index,2104.5,-0.002956309
2015-03-02,SP500,S&P 500 Index,2117.39,0.006124971000000001
2015-03-03,SP500,S&P 500 Index,2107.78,-0.004538606000000001
2015-03-04,SP500,S&P 500 Index,2098.53,-0.004388504000000001
2015-03-05,SP500,S&P 500 Index,2101.04,0.001196075
2015-03-06,SP500,S&P 500 Index,2071.26,-0.01417393
2015-03-09,SP500,S&P 500 Index,2079.43,0.003944459
2015-03-10,SP500,S&P 500 Index,2044.16,-0.01696138
2015-03-11,SP500,S&P 500 Index,2040.24,-0.001917658
2015-03-12,SP500,S&P 500 Index,2065.95,0.01260146
2015-03-13,SP500,S&P 500 Index,2053.4,-0.006074687
2015-03-16,SP500,S&P 500 Index,2081.19,0.01353365
2015-03-17,SP500,S&P 500 Index,2074.28,-0.003320216
2015-03-18,SP500,S&P 500 Index,2099.5,0.01215844
2015-03-19,SP500,S&P 500 Index,2089.27,-0.004872589
2015-03-20,SP500,S&P 500 Index,2108.1,0.009012718000000001
2015-03-23,SP500,S&P 500 Index,2104.42,-0.001745648
2015-03-24,SP500,S&P 500 Index,2091.5,-0.006139459000000001
2015-03-25,SP500,S&P 500 Index,2061.05,-0.01455893
2015-03-26,SP500,S&P 500 Index,2056.15,-0.002377429
2015-03-27,SP500,S&P 500 Index,2061.02,0.002368504
2015-03-30,SP500,S&P 500 Index,2086.24,0.01223666
2015-03-31,SP500,S&P 500 Index,2067.89,-0.008795728000000001
2015-04-01,SP500,S&P 500 Index,2059.69,-0.003965395
2015-04-02,SP500,S&P 500 Index,2066.96,0.003529657
2015-04-06,SP500,S&P 500 Index,2080.62,0.006608739000000001
2015-04-07,SP500,S&P 500 Index,2076.33,-0.002061885
2015-04-08,SP500,S&P 500 Index,2081.9,0.002682618
2015-04-09,SP500,S&P 500 Index,2091.18,0.004457467000000001
2015-04-10,SP500,S&P 500 Index,2102.06,0.005202804
2015-04-13,SP500,S&P 500 Index,2092.43,-0.00458122
2015-04-14,SP500,S&P 500 Index,2095.84,0.001629684
2015-04-15,SP500,S&P 500 Index,2106.63,0.005148294
2015-04-16,SP500,S&P 500 Index,2104.99,-0.0007784946
2015-04-17,SP500,S&P 500 Index,2081.18,-0.01131122
2015-04-20,SP500,S&P 500 Index,2100.4,0.009235146000000001
2015-04-21,SP500,S&P 500 Index,2097.29,-0.00148067
2015-04-22,SP500,S&P 500 Index,2107.96,0.005087518
2015-04-23,SP500,S&P 500 Index,2112.93,0.00235773
2015-04-24,SP500,S&P 500 Index,2117.69,0.002252796
2015-04-27,SP500,S&P 500 Index,2108.92,-0.004141305000000001
2015-04-28,SP500,S&P 500 Index,2114.76,0.00276919
2015-04-29,SP500,S&P 500 Index,2106.85,-0.003740377
2015-04-30,SP500,S&P 500 Index,2085.51,-0.01012887
2015-05-01,SP500,S&P 500 Index,2108.29,0.01092299
2015-05-04,SP500,S&P 500 Index,2114.49,0.002940772
2015-05-05,SP500,S&P 500 Index,2089.46,-0.01183737
