caldt,spindx,sprtrn
2015-07-29,2108.57,0.0073187630000000016
2015-07-30,2108.63,2.8455300000000002e-05
2015-07-31,2103.84,-0.002271617
2015-08-03,2098.04,-0.0027568640000000004
2015-08-04,2093.32,-0.002249719
2015-08-05,2099.84,0.00311467
2015-08-06,2083.56,-0.0077529719999999995
2015-08-07,2077.57,-0.002874887
2015-08-10,2104.18,0.01280823
2015-08-11,2084.07,-0.009557167
2015-08-12,2086.05,0.0009500639999999999
2015-08-13,2083.39,-0.001275137
2015-08-14,2091.54,0.003911894
2015-08-17,2102.44,0.0052114710000000005
2015-08-18,2096.92,-0.0026255209999999996
2015-08-19,2079.61,-0.008254965000000001
2015-08-20,2035.73,-0.02110011
2015-08-21,1970.89,-0.03185098
2015-08-24,1893.21,-0.03941366
2015-08-25,1867.61,-0.01352201
2015-08-26,1940.51,0.03903385
2015-08-27,1987.66,0.02429774
2015-08-28,1988.87,0.000608756
2015-08-31,1972.18,-0.0083917
2015-09-01,1913.85,-0.02957641
2015-09-02,1948.86,0.01829297
2015-09-03,1951.13,0.001164783
2015-09-04,1921.22,-0.01532958
2015-09-08,1969.41,0.02508302
2015-09-09,1942.04,-0.01389756
2015-09-10,1952.29,0.005277955
2015-09-11,1961.05,0.004487038
2015-09-14,1953.03,-0.004089646000000001
2015-09-15,1978.09,0.01283134
2015-09-16,1995.31,0.008705367
2015-09-17,1990.2,-0.0025610060000000002
2015-09-18,1958.03,-0.0161642
2015-09-21,1966.97,0.0045658140000000005
2015-09-22,1942.74,-0.01231844
2015-09-23,1938.76,-0.0020486529999999997
2015-09-24,1932.24,-0.0033629740000000003
2015-09-25,1931.34,-0.0004657806
2015-09-28,1881.77,-0.02566612
2015-09-29,1884.09,0.001232882
2015-09-30,1920.03,0.01907552
2015-10-01,1923.82,0.0019739270000000003
2015-10-02,1951.36,0.01431527
2015-10-05,1987.05,0.01828981
2015-10-06,1979.92,-0.003588234
2015-10-07,1995.83,0.008035678000000001
2015-10-08,2013.43,0.008818386000000001
2015-10-09,2014.89,0.0007251307000000001
2015-10-12,2017.46,0.001275504
2015-10-13,2003.69,-0.006825414
2015-10-14,1994.24,-0.004716299
2015-10-15,2023.86,0.01485278
2015-10-16,2033.11,0.004570474000000001
2015-10-19,2033.66,0.00027052150000000003
2015-10-20,2030.77,-0.0014210829999999999
2015-10-21,2018.94,-0.0058253770000000005
2015-10-22,2052.51,0.01662754
2015-10-23,2075.15,0.011030400000000001
2015-10-26,2071.18,-0.001913115
2015-10-27,2065.89,-0.0025541
2015-10-28,2090.35,0.01183993
